day,exch,names,median_abs_bp,p90_abs_bp,median_bp,expiry
2026-08-03,BSE,208,9.633633636110805,71.87538916511117,0.0,False
2026-08-03,NSE,210,52.70602478236519,113.50698363628874,42.15884935849567,False
2026-08-04,BSE,208,16.264824687196032,76.77663784533941,0.0,False
2026-08-04,NSE,210,40.52486623478069,97.12295511713842,17.166321062044297,True
2026-08-05,BSE,208,11.816400895264811,54.81470469706685,0.0,False
2026-08-05,NSE,210,26.95990866725839,70.84803117376981,11.565536630699924,False
2026-08-06,BSE,208,12.35798356528539,68.88717397153088,0.0,True
2026-08-06,NSE,210,18.53137759459056,62.61304047316373,0.0,False
2026-08-07,BSE,208,15.382716049383017,91.10739462030895,0.0,False
2026-08-07,NSE,210,17.538122943482335,54.0302167378589,1.923722777246173,False
2026-08-10,BSE,208,14.345468087120228,64.50370806978766,1.1739656050013814,False
2026-08-10,NSE,210,20.75922579168332,57.76515514126611,5.871897580330687,False
2026-08-11,BSE,208,12.719015557293156,64.85035419903689,0.0,False
2026-08-11,NSE,210,21.620782769239398,51.629151543586936,12.010267202902103,True
2026-08-12,BSE,208,17.00306492256332,70.75935053051353,0.0,False
2026-08-12,NSE,210,59.174130666562746,158.36327490081945,54.43963752397529,False
2026-08-13,BSE,208,17.87846399858406,65.09215274065872,5.250074510771974,True
2026-08-13,NSE,210,24.21807381826513,59.5855057193697,19.99823761415609,False
2026-08-14,BSE,208,15.63166418437456,59.56950429818834,0.0,False
2026-08-14,NSE,210,16.86592369748996,44.666450002289956,0.2510040160641491,False
2026-08-17,BSE,208,15.527089559432827,57.75765057856797,-4.828453902387397,False
2026-08-17,NSE,210,22.254046512110158,54.549772525970816,-10.6847945983779,False
2026-08-18,BSE,208,15.790268772125081,47.36482086822846,-0.8638559342483143,False
2026-08-18,NSE,210,17.729638769415914,54.22146063476185,-5.416948019990597,True
2026-08-19,BSE,208,7.910661444915923,41.13078034682075,0.0,False
2026-08-19,NSE,210,20.02618021516911,52.30291174278667,15.011735679649751,False
